line,day,incident,min_delay
504,Saturday,Collision - TTC Involved,30
501,Saturday,Operations,16
504,Saturday,Operations,18
510,Saturday,Operations,30
301,Saturday,Security,5
501,Saturday,Operations,10
504,Saturday,Operations,9
505,Saturday,Operations,7
501,Saturday,Operations,9
512,Saturday,Security,19
504,Saturday,Operations,8
504,Saturday,Operations,9
512,Saturday,Operations,6
512,Saturday,Security,12
511,Saturday,Operations,11
504,Saturday,Security,8
510,Saturday,Operations,9
501,Saturday,Operations,9
510,Saturday,Operations,9
510,Saturday,Operations,9
506,Saturday,Operations,9
510,Saturday,Operations,9
510,Saturday,Security,5
506,Saturday,Operations,9
510,Saturday,Mechanical,5
505,Saturday,Operations,8
501,Saturday,Operations,9
501,Saturday,Operations,10
501,Saturday,Operations,9
501,Saturday,Operations,9
506,Saturday,Operations,9
510,Saturday,Cleaning - Unsanitary,5
506,Saturday,Operations,8
505,Saturday,Operations,8
511,Saturday,Operations,8
501,Saturday,Cleaning - Unsanitary,8
506,Saturday,Operations,6
504,Saturday,Operations,5
504,Saturday,Operations,5
510,Saturday,Operations,8
501,Saturday,Operations,8
505,Saturday,Cleaning - Unsanitary,8
501,Saturday,Operations,9
501,Saturday,Operations,10
506,Saturday,Operations,6
505,Saturday,Operations,7
511,Saturday,Operations,6
504,Saturday,Operations,5
505,Saturday,Operations,8
501,Saturday,Security,9
505,Saturday,Operations,8
501,Saturday,Operations,7
501,Saturday,Operations,7
510,Saturday,Operations,8
506,Saturday,Mechanical,9
501,Saturday,Security,10
505,Saturday,Operations,10
506,Saturday,Mechanical,8
506,Saturday,Operations,8
504,Saturday,Operations,5
506,Saturday,Held By,8
501,Saturday,Held By,97
510,Saturday,Operations,5
506,Saturday,Operations,10
510,Saturday,Utilized Off Route,5
509,Saturday,Cleaning - Unsanitary,9
504,Saturday,Operations,8
501,Saturday,Operations,9
504,Saturday,General Delay,10
504,Saturday,Utilized Off Route,8
510,Saturday,Operations,5
506,Saturday,Operations,52
505,Saturday,Diversion,40
505,Saturday,Security,6
501,Saturday,Security,9
510,Saturday,Emergency Services,5
501,Saturday,Operations,10
501,Saturday,Operations,10
501,Saturday,Operations,13
505,Saturday,Cleaning - Unsanitary,9
501,Saturday,Operations,9
501,Saturday,Operations,8
505,Saturday,Collision - TTC Involved,38
505,Saturday,Mechanical,8
506,Saturday,Utilized Off Route,10
512,Sunday,Operations,17
501,Sunday,Mechanical,6
504,Sunday,Operations,9
501,Sunday,Operations,10
501,Sunday,Operations,9
505,Sunday,Security,16
501,Sunday,Mechanical,10
504,Sunday,Operations,9
505,Sunday,Security,10
512,Sunday,Mechanical,6
501,Sunday,Operations,9
506,Sunday,Operations,8
510,Sunday,Operations,5
512,Sunday,Operations,6
506,Sunday,Security,8
510,Sunday,General Delay,10
501,Sunday,Operations,8
510,Sunday,Operations,5
501,Sunday,Mechanical,9
505,Sunday,Security,8
505,Sunday,Emergency Services,36
501,Sunday,Mechanical,9
505,Sunday,Operations,8
504,Sunday,Operations,8
509,Sunday,Operations,7
501,Sunday,Operations,8
512,Sunday,Operations,6
504,Sunday,Operations,5
501,Sunday,Cleaning - Unsanitary,9
510,Sunday,Operations,5
506,Sunday,Cleaning - Unsanitary,8
510,Sunday,Operations,5
506,Sunday,Security,8
506,Sunday,Mechanical,9
506,Sunday,Operations,8
501,Sunday,Operations,8
501,Sunday,Emergency Services,0
504,Sunday,Operations,5
505,Sunday,Held By,57
501,Sunday,Operations,9
505,Sunday,Operations,7
504,Sunday,Operations,9
504,Sunday,Operations,5
501,Sunday,Operations,9
504,Sunday,Operations,5
501,Sunday,Operations,9
501,Sunday,Operations,9
504,Sunday,Operations,9
501,Sunday,Emergency Services,9
501,Sunday,Operations,9
501,Sunday,Mechanical,9
509,Sunday,Mechanical,9
505,Sunday,Operations,8
504,Sunday,Operations,8
505,Sunday,Emergency Services,9
511,Sunday,Emergency Services,8
504,Sunday,Operations,6
504,Sunday,Operations,9
504,Sunday,Mechanical,8
509,Sunday,Cleaning - Unsanitary,10
501,Sunday,Utilized Off Route,20
501,Monday,Security,6
506,Monday,Operations,9
510,Monday,Security,0
501,Monday,Operations,16
506,Monday,Operations,8
504,Monday,Operations,4
504,Monday,Operations,2
510,Monday,Cleaning - Unsanitary,8
501,Monday,Cleaning - Unsanitary,8
504,Monday,Operations,3
501,Monday,Operations,8
509,Monday,Security,46
501,Monday,Operations,8
510,Monday,Held By,37
501,Monday,Operations,8
506,Monday,Mechanical,9
505,Monday,Operations,8
505,Monday,Operations,8
511,Monday,Operations,9
504,Monday,Collision - TTC Involved,16
503,Monday,Held By,13
501,Monday,Held By,12
501,Monday,Operations,5
506,Monday,Operations,8
501,Monday,Operations,8
501,Monday,Operations,8
505,Monday,Operations,8
503,Monday,Operations,8
503,Monday,Operations,8
504,Monday,Operations,5
501,Monday,Operations,8
501,Monday,Operations,8
506,Monday,Operations,9
505,Monday,Operations,8
504,Monday,Mechanical,5
510,Monday,Operations,10
504,Monday,Held By,20
501,Monday,Collision - TTC Involved,8
501,Monday,Held By,20
501,Monday,Mechanical,5
506,Monday,Mechanical,9
505,Monday,Emergency Services,7
501,Monday,Cleaning - Unsanitary,8
501,Monday,Operations,9
501,Monday,Operations,5
511,Monday,Mechanical,28
501,Monday,Operations,9
501,Monday,Operations,8
506,Monday,Operations,8
506,Monday,Operations,9
505,Monday,Security,7
501,Monday,Operations,8
505,Monday,Operations,7
504,Monday,Operations,5
501,Monday,Held By,36
505,Monday,Operations,7
501,Monday,Operations,5
511,Monday,Operations,8
509,Monday,Operations,8
510,Monday,Operations,10
505,Monday,Operations,7
510,Monday,Operations,9
510,Monday,Operations,10
510,Monday,Security,15
510,Monday,Cleaning - Unsanitary,10
504,Monday,Operations,5
505,Monday,Operations,7
504,Monday,Operations,8
511,Monday,Mechanical,9
511,Monday,Operations,9
504,Monday,Operations,6
504,Monday,Operations,6
501,Monday,Investigation,9
504,Monday,Operations,8
501,Monday,Emergency Services,9
501,Monday,Utilized Off Route,4
511,Monday,Operations,8
506,Monday,Utilized Off Route,10
506,Monday,Security,8
511,Monday,Security,9
506,Monday,Emergency Services,18
501,Monday,Utilized Off Route,8
504,Monday,Diversion,20
504,Monday,Held By,8
511,Monday,Emergency Services,0
501,Tuesday,Emergency Services,13
304,Tuesday,Operations,30
304,Tuesday,Diversion,16
501,Tuesday,Operations,10
